seg_id,s,x,y,z,curvature,max_WSS,argmax_surface_pt_id
48,75.71544584433502,3.9923999309539795,-8.94491958618164,5.901219844818115,0.021051200106739998,0.026345629713331202,28752
49,77.29863548483382,5.2322001457214355,-8.836810111999512,6.879839897155762,0.026261499151587486,0.025780335247092213,23514
50,78.8824325352906,6.369929790496826,-8.75652027130127,7.978720188140869,0.038836199790239334,0.025673229636190554,30730
51,80.46592865577772,7.461939811706543,-8.807049751281738,9.124329566955566,0.05413639917969704,0.026617300386246427,22010
52,82.04925458537966,8.550129890441895,-9.021889686584473,10.254199981689453,0.07273469865322113,0.028617853233231128,12545
53,83.63268362007607,9.657400131225586,-9.387290000915527,11.325499534606934,0.09036839753389359,0.029583790572455866,789
54,85.21571969315421,10.780099868774414,-9.9028902053833,12.315299987792969,0.10234399884939194,0.029947482508178677,12820
55,86.79775215008945,11.873800277709961,-10.628199577331543,13.198800086975098,0.10551699995994568,0.02904776505752873,20712
56,88.37809085579889,12.836700439453125,-11.645000457763672,13.93120002746582,0.10005400329828262,0.026264929645922728,21094
57,89.95976297724572,13.595800399780273,-12.892800331115723,14.538200378417969,0.0894429013133049,0.021704680346681725,6422
58,91.54289553186065,14.163100242614746,-14.25160026550293,15.11970043182373,0.07743749767541885,0.017565097153124966,7375
59,93.12618861776289,14.57800006866455,-15.63539981842041,15.767600059509277,0.0650888979434967,0.017090173367653803,3407
60,94.70956140020522,14.857399940490723,-17.009300231933594,16.503400802612305,0.051404401659965515,0.015051988713696332,10912
61,96.29247545195241,14.980600357055664,-18.403900146484375,17.242000579833984,0.03616899996995926,0.014359443147005836,10903
62,97.87686632226723,15.028599739074707,-19.82509994506836,17.94070053100586,0.021101899445056915,0.013664523817693416,6787
63,99.46121503582404,15.076700210571289,-21.246200561523438,18.63949966430664,0.006646070163697004,0.013490103350701471,7595
64,101.04560590613886,15.124699592590332,-22.667400360107422,19.338199615478516,0.0020145298913121223,0.013856685686487244,3796
65,102.62990916566646,15.172800064086914,-24.088499069213867,20.03689956665039,0.004725209902971983,0.013528926365256254,9410
66,104.21434635772715,15.220800399780273,-25.509700775146484,20.735700607299805,0.0048345099203288555,0.01413518787350074,11629
67,105.79874026483405,15.268899917602539,-26.93090057373047,21.43440055847168,0.003334030043333769,0.014207623329091522,22098
68,107.38304048733553,15.316900253295898,-28.351999282836914,22.133100509643555,0.0015060600126162171,0.014500618550185175,11106
69,108.96743439444244,15.364999771118164,-29.7731990814209,22.83180046081543,0.00048392999451607466,0.014784240505912318,1597
70,110.55178310799924,15.413100242614746,-31.194299697875977,23.53059959411621,0.0009800100233405828,0.015425451155994984,21226
71,112.13617568920743,15.461099624633789,-32.615501403808594,24.229299545288086,0.0012121100444346666,0.016293130151593428,7825
72,113.72047723786919,15.509200096130371,-34.036598205566406,24.92799949645996,0.001161550055257976,0.018515766913871717,23991
73,115.30487155886316,15.55720043182373,-35.457801818847656,25.626699447631836,0.001031890045851469,0.02663063605982402,30643
