Re,seg_id,s,x,y,z,curvature,max_WSS,argmax_surface_pt_id
200,94,77.91681892824536,3.6291399002075195,-5.4727301597595215,3.6097500324249268,0.02942500077188015,0.011266165001302798,5334
200,95,78.7477301905813,4.367569923400879,-5.369029998779297,3.976330041885376,0.017956800758838654,0.011758018322397614,7972
200,96,79.57861381611038,5.095940113067627,-5.249629974365234,4.3578901290893555,0.012566699646413326,0.01374065784970141,1674
200,97,80.40950585585864,5.813640117645264,-5.1124701499938965,4.753459930419922,0.013621400110423565,0.01425555709963633,5455
200,98,81.24043687748791,6.52200984954834,-4.958809852600098,5.159719944000244,0.02057420089840889,0.015217237406691257,19270
200,99,82.07138976452131,7.2240400314331055,-4.794489860534668,5.572800159454346,0.03536739945411682,0.015499737620885783,624
200,100,82.90236997187921,7.92372989654541,-4.629950046539307,5.989799976348877,0.053888898342847824,0.01626341802340677,19389
200,101,83.73329898200551,8.624859809875488,-4.479579925537109,6.4096198081970215,0.06813520193099976,0.016892892628781457,19446
200,102,84.56408536427278,9.329429626464844,-4.360710144042969,6.833479881286621,0.09216900169849396,0.018022711866820154,781
200,103,85.3946550574604,10.03600025177002,-4.292940139770508,7.264770030975342,0.10964500159025192,0.01844702573933809,7931
200,104,86.22486927170317,10.737600326538086,-4.297299861907959,7.7086100578308105,0.13691399991512299,0.018430911662415193,3266
200,105,87.05480229589598,11.420000076293945,-4.3943400382995605,8.170889854431152,0.15458999574184418,0.01848323690099783,23410
200,106,87.88450385263972,12.060400009155273,-4.600860118865967,8.656319618225098,0.17738300561904907,0.018536883342550905,3208
200,107,88.71456149290366,12.629500389099121,-4.925509929656982,9.165949821472168,0.188058003783226,0.01668774000752628,13020
200,108,89.54440440386806,13.087200164794922,-5.372139930725098,9.69478988647461,0.19442200660705566,0.015508636467687768,28014
200,109,90.37377097728512,13.425200462341309,-5.909800052642822,10.22819995880127,0.19166100025177002,0.01452146083045232,24157
200,110,91.20310448631209,13.643899917602539,-6.514100074768066,10.752400398254395,0.17827700078487396,0.014327407327165028,20981
200,111,92.03269926402517,13.755900382995605,-7.1637701988220215,11.255999565124512,0.16500799357891083,0.013491218509923958,9081
200,112,92.86265754428777,13.779000282287598,-7.843830108642578,11.731200218200684,0.14204099774360657,0.012567932963136928,9087
200,113,93.69289598227523,13.73069953918457,-8.545160293579102,12.172900199890137,0.11876700073480606,0.011502079186761228,13325
200,114,94.52331401594616,13.626700401306152,-9.262680053710938,12.577799797058105,0.10430300235748291,0.01129514169486909,3171
200,115,95.3538792991036,13.479999542236328,-9.993880271911621,12.943400382995605,0.08504469692707062,0.010541862896674076,13237
200,116,96.18450267099155,13.301400184631348,-10.737299919128418,13.267999649047852,0.0739877000451088,0.009984775118195618,30320
200,117,97.01517046577735,13.100299835205078,-11.491900444030762,13.55109977722168,0.05995890125632286,0.00982620365425668,9180
200,118,97.84599803465832,12.884400367736816,-12.256500244140625,13.794099807739258,0.052117399871349335,0.009295372205221522,6500
200,119,98.67679060527345,12.660599708557129,-13.029500007629395,14.000499725341797,0.042179301381111145,0.009144197573195524,6471
200,120,99.50763688994408,12.434499740600586,-13.809399604797363,14.176400184631348,0.036514099687337875,0.009113135423760575,13561
200,121,100.33854019009186,12.210800170898438,-14.594900131225586,14.32919979095459,0.029088599607348442,0.009185348396575513,21039
200,122,101.1694763541296,11.993399620056152,-15.385000228881836,14.46679973602295,0.02470419928431511,0.00899068431149682,28940
200,123,102.00046289754384,11.785300254821777,-16.179000854492188,14.596400260925293,0.018847599625587463,0.00868613095998139,28917
200,124,102.83146462218772,11.582599639892578,-16.97480010986328,14.723600387573242,0.015421399846673012,0.00862210801814622,6778
200,125,103.66238024480964,11.379799842834473,-17.77050018310547,14.850700378417969,0.011055000126361847,0.008584027855660155,4264
200,126,104.4933815908538,11.17710018157959,-18.566299438476562,14.977899551391602,0.007728340104222298,0.008713303769650791,21156
200,127,105.32436982034413,10.97439956665039,-19.36210060119629,15.104999542236328,0.0061306399293243885,0.00870332906507115,23881
200,128,106.15537131236523,10.771699905395508,-20.157899856567383,15.232199668884277,0.004607489798218012,0.008670959563455878,23886
200,129,106.98628693498715,10.568900108337402,-20.95359992980957,15.359299659729004,0.004046460147947073,0.008741117010604621,5036
200,130,107.81728842700825,10.36620044708252,-21.749399185180664,15.486499786376953,0.003550759982317686,0.00871816267001323,12376
200,131,108.64829197820283,10.16349983215332,-22.54520034790039,15.613699913024902,0.0032887000124901533,0.008651504210977382,11339
200,132,109.47928303386662,9.960780143737793,-23.340999603271484,15.740799903869629,0.002867740113288164,0.00865112531772733,29250
200,133,110.31019443157889,9.758060455322266,-24.136699676513672,15.868000030517578,0.0025549300480633974,0.00858197374273401,23345
200,134,111.14118987300348,9.555330276489258,-24.9325008392334,15.995100021362305,0.0020656799897551537,0.008734256176182181,31345
200,135,111.97219633698778,9.352609634399414,-25.728300094604492,16.122299194335938,0.0017525400035083294,0.008659036856539837,20486
200,136,112.80318739265157,9.149889945983887,-26.524099349975586,16.249399185180664,0.0013405500212684274,0.008558915458645634,21754
200,137,113.63410149579487,8.947159767150879,-27.319799423217773,16.37660026550293,0.0011202499736100435,0.008573129602161177,23823
200,138,114.46510955367549,8.744440078735352,-28.1156005859375,16.503799438476562,0.000878868973813951,0.008647475942356889,20139
200,139,115.29610060933928,8.541720390319824,-28.911399841308594,16.63089942932129,0.0007277940167114139,0.008767871228794607,20267
200,140,116.12710969177701,8.338990211486816,-29.707199096679688,16.758100509643555,0.000660658988635987,0.00859352437765969,4546
200,141,116.95800599876102,8.136269569396973,-30.502899169921875,16.88520050048828,0.0005871980101801455,0.008574379342084364,19929
200,142,117.78901405664165,7.933549880981445,-31.2987003326416,17.012399673461914,0.000548263022210449,0.008715556277730116,19941
200,143,118.62000938173688,7.730820178985596,-32.09450149536133,17.13949966430664,0.0005000089877285063,0.00872082291688026,20004
200,144,119.451016021352,7.52810001373291,-32.89030075073242,17.266700744628906,0.0004738850111607462,0.008560996423829193,5221
200,145,120.2819273894069,7.325379848480225,-33.68600082397461,17.39389991760254,0.000443452998297289,0.0085793641041161,5294
200,146,121.11292088793336,7.122650146484375,-34.4818000793457,17.520999908447266,0.0004288929922040552,0.008698949436786008,29291
200,147,121.9439272355953,6.9199299812316895,-35.2775993347168,17.6481990814209,0.00041466401307843626,0.008651342923377008,29264
200,148,122.77492085045138,6.717199802398682,-36.07339859008789,17.775299072265625,0.00040985600207932293,0.00875369185410948,11629
400,1,0.8309787739111589,3.477289915084839,27.781099319458008,-7.723720073699951,0.0012805899605154991,0.0206552231486431,10922
400,2,1.6619504762295518,2.8904600143432617,27.23539924621582,-7.503819942474365,0.0012567699886858463,0.02332721131785571,9382
400,3,2.492922178547945,2.3036301136016846,26.689699172973633,-7.283919811248779,0.001249730004929006,0.02525850094548128,3834
400,4,3.3239009946468556,1.716789960861206,26.143999099731445,-7.064020156860352,0.0017103699501603842,0.02665748249946598,10942
400,5,4.1548715285938504,1.1299599409103394,25.59830093383789,-6.844120025634766,0.0027363800909370184,0.02732427130036211,4658
400,6,4.985845377639368,0.5431270003318787,25.052600860595703,-6.62421989440918,0.005501859821379185,0.026078204184750233,9422
400,7,5.8168196213044485,-0.0437064990401268,24.506900787353516,-6.404319763183594,0.00809772964566946,0.024006285741253946,10714
400,8,6.647793749307766,-0.6305400133132935,23.961200714111328,-6.184420108795166,0.012861499562859535,0.024995172627921263,10650
400,9,7.478765535811432,-1.2173700332641602,23.41550064086914,-5.96451997756958,0.016343599185347557,0.025996545991237692,570
400,10,8.309744309722591,-1.8042099475860596,22.869800567626953,-5.744619846343994,0.021264100447297096,0.025463405522876015,18348
400,11,9.140716054226221,-2.391040086746216,22.324100494384766,-5.524720191955566,0.02378839999437332,0.02538273124879345,1135
400,12,9.971687756544615,-2.977869987487793,21.778400421142578,-5.3048200607299805,0.025362400338053703,0.025299713479488516,17404
400,13,10.802666530455774,-3.5647099018096924,21.23270034790039,-5.0849199295043945,0.023097900673747063,0.028502116589426862,5810
400,14,11.633638232774167,-4.1515398025512695,20.687000274658203,-4.865019798278809,0.019136400893330574,0.03066014233975334,31731
400,15,12.464609977277798,-4.738369941711426,20.141300201416016,-4.645120143890381,0.012238400056958199,0.03577577103861219,5827
400,16,13.29453491349948,-5.30109977722168,19.587900161743164,-4.388490200042725,0.015929199755191803,0.04118688895287013,25903
400,17,14.124898770627226,-5.823090076446533,19.023500442504883,-4.07466983795166,0.03776710107922554,0.04591527630310484,18075
400,18,14.955722781214613,-6.313910007476807,18.45170021057129,-3.7248001098632812,0.05854419991374016,0.04973087301472597,5711
400,19,15.786646396178842,-6.785820007324219,17.873199462890625,-3.3600099086761475,0.09705039858818054,0.05413790771696385,8192
400,20,16.617554747283474,-7.253459930419922,17.28510093688965,-3.005239963531494,0.1266160011291504,0.05779446460891757,7488
400,21,17.448071390060825,-7.733419895172119,16.681800842285156,-2.6963300704956055,0.17256100475788116,0.05777459050308402,17725
400,22,18.276171709014545,-8.243490219116211,16.05500030517578,-2.515500068664551,0.1996150016784668,0.056556165848699436,26142
400,23,19.1015877026775,-8.767970085144043,15.419699668884277,-2.566740036010742,0.22437399625778198,0.05412692414452432,2154
400,24,19.925758573024435,-9.229920387268066,14.828800201416016,-2.9083499908447266,0.22602300345897675,0.05355727716882479,8214
400,25,20.75414591386414,-9.583080291748047,14.298500061035156,-3.437769889831543,0.20734700560569763,0.048812537030313796,17501
400,26,21.583950862073284,-9.83687973022461,13.801799774169922,-4.052140235900879,0.17517900466918945,0.04135258142955757,2119
400,27,22.41450264925935,-10.00409984588623,13.313199996948242,-4.702620029449463,0.1534689962863922,0.03820495738495374,17791
400,28,23.245360431138288,-10.095100402832031,12.813699722290039,-5.360300064086914,0.12746000289916992,0.03949766699972215,16877
400,29,24.07625942086452,-10.118200302124023,12.292200088500977,-6.006750106811523,0.11590199917554855,0.03866086391451284,16052
400,30,24.907061256920922,-10.079899787902832,11.744500160217285,-6.630280017852783,0.10595600306987762,0.036899937776140104,15630
400,31,25.737931493714356,-9.982410430908203,11.17020034790039,-7.222750186920166,0.10237599909305573,0.0354732545468661,15607
400,32,26.56867302724196,-9.826640129089355,10.57390022277832,-7.779789924621582,0.09839580208063126,0.034564950320792064,15599
400,33,27.399434028192736,-9.611960411071777,9.964119911193848,-8.301560401916504,0.0955049991607666,0.03315770195322535,15825
400,34,28.23010982020149,-9.33689022064209,9.353750228881836,-8.793299674987793,0.09000810235738754,0.031149451988476438,26951
400,35,29.060703635442394,-9.000800132751465,8.758339881896973,-9.264909744262695,0.08548130095005035,0.028348523531752406,26595
400,36,29.891197723860287,-8.606180191040039,8.193920135498047,-9.729049682617188,0.07736119627952576,0.02610583616439673,15773
400,37,30.72163339239799,-8.160229682922363,7.673590183258057,-10.198100090026855,0.07106819748878479,0.025645695509425987,20620
400,38,31.552088175592196,-7.6742401123046875,7.204150199890137,-10.680899620056152,0.06106429919600487,0.027876314946269437,10495
400,39,32.382622467680726,-7.160520076751709,6.785009860992432,-11.181099891662598,0.054515399038791656,0.030285891364721946,10422
400,40,33.2133836940908,-6.629209995269775,6.409649848937988,-11.697799682617188,0.057459499686956406,0.03338749215959248,7026
400,41,34.044216251327555,-6.0865302085876465,6.068530082702637,-12.226400375366211,0.08234799653291702,0.04025412203397614,7226
400,42,34.87518241170377,-5.534639835357666,5.751430034637451,-12.760600090026855,0.11591699719429016,0.051509167435686,22815
400,43,35.706120605993604,-4.971940040588379,5.447810173034668,-13.291299819946289,0.2019689977169037,0.07101088863965421,31183
400,44,36.53702024959948,-4.392340183258057,5.145669937133789,-13.804300308227539,0.2982119917869568,0.09759200552416814,29788
400,45,37.36730861094787,-3.783090114593506,4.828539848327637,-14.27079963684082,0.5562170147895813,0.10680828974640641,10159
400,46,38.194478590980054,-3.1237399578094482,4.469970226287842,-14.618499755859375,0.8544989824295044,0.10957549898577816,10065
400,47,38.971734820983585,-2.47625994682312,4.054870128631592,-14.50629997253418,1.4098700284957886,0.11441898293555255,22873
400,48,39.77217587374157,-2.3234200477600098,3.8429698944091797,-13.749699592590332,1.4593700170516968,0.1224566882713207,3743
400,49,40.599778149819436,-2.455970048904419,3.791569948196411,-12.934399604797363,0.948298990726471,0.08638536570997184,7181
