x,y,z,label,radius,curvature,torsion
114.008,68.7115,39.5036,7,1.74278,0.0344535,-0.188802
114.504,68.4517,39.2605,7,1.64931,0.0326591,-0.215641
114.992,68.186,39.0104,7,1.60558,0.0318926,-0.225976
115.472,67.9137,38.7548,7,1.59875,0.0321009,-0.217203
115.944,67.6339,38.4951,7,1.53805,0.0331452,-0.193043
116.407,67.3458,38.2326,7,1.58779,0.0348219,-0.161852
116.862,67.0483,37.9683,7,1.57528,0.0368968,-0.131054
117.308,66.7406,37.7032,7,1.55243,0.0391533,-0.10393
117.746,66.4217,37.4382,7,1.53099,0.0414071,-0.0816058
118.174,66.0906,37.174,7,1.54772,0.043531,-0.0640016
118.594,65.7467,36.9111,7,1.49278,0.0454406,-0.050343
119.004,65.3891,36.6502,7,1.4538,0.0470717,-0.0399318
119.406,65.0173,36.3916,7,1.24857,0.0484062,-0.0325661
119.797,64.6306,36.1359,141,-1,0.0494849,-0.0276995
